,sky_id,fbref_player,short_team,sky_pos,tff_value,MD_1_Pts,MD_2_Pts,MD_3_Pts,MD_4_Pts,MD_5_Pts,MD_6_Pts,MD_7_Pts,MD_8_Pts,MD_9_Pts,MD_10_Pts,MD_11_Pts,MD_12_Pts,MD_13_Pts,MD_14_Pts,MD_15_Pts,MD_16_Pts,MD_17_Pts,MD_18_Pts,MD_19_Pts,MD_20_Pts,MD_21_Pts,MD_22_Pts,MD_23_Pts,MD_24_Pts,MD_25_Pts,MD_26_Pts,MD_27_Pts,MD_28_Pts,MD_29_Pts,MD_30_Pts,MD_31_Pts,MD_32_Pts,MD_33_Pts,MD_34_Pts,MD_35_Pts,MD_36_Pts,MD_37_Pts,MD_38_Pts,MD_39_Pts,MD_40_Pts,MD_41_Pts,MD_42_Pts,Total_Pts
0,58,Marvelous Nakamba,LUT,MID,2.5,0.0,0.0,3.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.07,0.0,0.0,0.0,0.0,0.0,3.87,0.0,0.0,0.0,0.0,0.0,0.0,3.66,0.0,0.0,0.0,0.0,3.61,0.0,0.0,0.0,0.0,0.0,3.43,0.0,0.0,0.0,22.52
1,1269,João Palhinha,FUL,MID,3.1,0.0,0.0,1.95,0.0,0.0,0.0,0.0,0.0,2.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.27,0.0,0.0,0.0,0.0,0.0,3.16,0.0,0.0,0.0,0.0,4.27,0.0,0.0,0.0,0.0,3.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.99,23.33
2,1441,Idrissa Gana Gueye,EVE,MID,3.1,0.0,0.0,3.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.24,0.0,0.0,0.0,0.0,3.16,0.0,0.0,0.0,0.0,3.11,0.0,0.0,0.0,0.0,0.0,0.0,3.04,0.0,0.0,0.0,0.0,2.84,0.0,0.0,0.0,0.0,3.34,0.0,0.0,0.0,22.05
3,1411,Casemiro,MUN,MID,3.8,0.0,0.0,0.0,0.0,0.0,0.0,4.59,0.0,0.0,4.09,0.0,0.0,0.0,0.0,0.0,0.0,4.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.86,0.0,4.22,0.0,0.0,0.0,0.0,0.0,0.0,3.86,0.0,0.0,0.0,4.41,0.0,0.0,0.0,29.33
4,484,Oliver Norwood,SHU,MID,2.4,0.0,0.0,4.0,0.0,0.0,0.0,0.0,3.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.19,0.0,0.0,3.56,0.0,0.0,0.0,0.0,0.0,3.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.63,0.0,3.54,0.0,0.0,0.0,24.61
5,1437,Lucas Paquetá,WHU,MID,4.0,0.0,0.0,4.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.14,0.0,0.0,0.0,0.0,3.64,0.0,0.0,4.11,0.0,0.0,0.0,0.0,0.0,0.0,3.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.49,0.0,0.0,3.85,0.0,0.0,0.0,26.620000000000005
6,668,Max Lowe,SHU,DEF,2.2,0.0,0.0,3.03,0.0,0.0,0.0,0.0,2.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.68,0.0,0.0,3.11,0.0,0.0,0.0,0.0,0.0,1.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.25,0.0,1.97,0.0,0.0,0.0,15.91
7,1110,Marc Cucurella,CHE,DEF,3.4,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,1.07,0.0,1.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.47,0.0,0.0,0.0,0.0,0.0,0.0,1.42,0.0,0.0,1.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.31,8.9
8,436,Fred,MUN,MID,3.5,0.0,0.0,0.0,0.0,0.0,0.0,1.13,0.0,0.0,1.22,0.0,0.0,0.0,0.0,0.0,0.0,1.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.17,0.0,1.51,0.0,0.0,0.0,0.0,0.0,0.0,1.52,0.0,0.0,0.0,1.76,0.0,0.0,0.0,9.68
9,3406,Alfie Doughty,LUT,MID,2.2,0.0,0.0,2.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9,0.0,0.0,0.0,0.0,0.0,2.95,0.0,0.0,0.0,0.0,0.0,0.0,2.79,0.0,0.0,0.0,0.0,2.75,0.0,0.0,0.0,0.0,0.0,2.61,0.0,0.0,0.0,16.91
10,3207,João Gomes,WOL,MID,2.8,0.0,0.0,0.0,0.0,0.0,0.0,2.85,0.0,2.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.86,0.0,2.8,0.0,0.0,0.0,0.0,0.0,2.92,0.0,0.0,0.0,0.0,0.0,2.37,0.0,0.0,0.0,19.169999999999998
11,343,Curtis Jones,LIV,MID,3.2,0.0,0.0,0.0,0.0,0.0,1.92,0.0,0.0,2.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.68,0.0,0.0,0.0,0.0,1.65,0.0,1.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.67,0.0,0.0,0.0,1.53,0.0,0.0,12.16
12,1282,Tyrell Malacia,MUN,DEF,2.5,0.0,0.0,0.0,0.0,0.0,0.0,1.04,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,1.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.73,0.0,1.05,0.0,0.0,0.0,0.0,0.0,0.0,1.13,0.0,0.0,0.0,1.38,0.0,0.0,0.0,7.21
13,1165,Lewis Hall,CHE,MID,2.3,0.0,0.0,0.0,0.0,0.0,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.39,0.0,0.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.54,0.0,0.0,0.0,0.0,0.0,0.0,0.63,0.0,0.0,0.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55,3.6899999999999995
14,1171,Nathan Patterson,EVE,DEF,2.7,0.0,0.0,2.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.03,0.0,0.0,0.0,0.0,2.97,0.0,0.0,0.0,0.0,2.8,0.0,0.0,0.0,0.0,0.0,0.0,1.68,0.0,0.0,0.0,0.0,2.1,0.0,0.0,0.0,0.0,3.03,0.0,0.0,0.0,17.18
15,345,Neco Williams,FOR,DEF,2.5,0.0,0.63,0.0,0.0,0.0,0.0,0.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.79,0.0,0.0,0.0,0.0,0.0,0.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.45,0.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.22,0.0,6.89
16,879,Christian Nørgaard,BRE,MID,3.2,0.0,0.0,0.0,0.0,3.21,0.0,0.0,0.0,3.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.23,0.0,0.0,0.0,0.0,0.0,3.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.92,0.0,0.0,3.04,0.0,0.0,0.0,0.0,0.0,0.0,2.75,0.0,21.51
17,716,Thomas Partey,ARS,MID,3.5,0.0,2.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.73,0.0,0.0,2.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.66,0.0,0.0,2.49,0.0,0.0,0.0,0.0,0.0,0.0,2.52,0.0,0.0,2.64,0.0,0.0,0.0,18.529999999999998
18,653,Kenny Tete,FUL,DEF,2.6,0.0,0.0,2.92,0.0,0.0,0.0,0.0,0.0,2.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.42,0.0,0.0,0.0,0.0,0.0,1.01,0.0,0.0,0.0,0.0,3.81,0.0,0.0,0.0,0.0,2.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.42,17.270000000000003
19,958,Will Hughes,CRY,MID,2.8,0.0,0.0,1.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.67,0.0,0.0,1.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.72,0.0,0.0,1.71,0.0,0.0,0.0,0.0,1.79,0.0,0.0,0.0,0.0,0.0,1.77,0.0,0.0,0.0,12.05
20,715,Vladimír Coufal,WHU,DEF,3.2,0.0,0.0,2.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.44,0.0,0.0,0.0,0.0,1.77,0.0,0.0,3.13,0.0,0.0,0.0,0.0,0.0,0.0,1.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.42,0.0,0.0,3.48,0.0,0.0,0.0,16.61
21,1198,Bruno Guimarães,NEW,MID,3.6,0.0,0.0,0.0,3.99,0.0,0.0,0.0,0.0,0.0,0.0,3.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.82,0.0,0.0,0.0,3.43,0.0,0.0,0.0,0.0,0.0,0.0,3.59,0.0,0.0,0.0,0.0,0.0,3.61,0.0,3.67,0.0,0.0,0.0,25.159999999999997
22,813,Moisés Caicedo,BHA,MID,3.3,0.0,0.0,3.25,0.0,0.0,0.0,0.0,0.0,2.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.04,0.0,0.0,0.0,0.0,0.0,2.99,0.0,0.0,0.0,2.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2,0.0,3.0,0.0,0.0,0.0,0.0,21.31
23,542,Serge Aurier,FOR,DEF,2.6,0.0,0.85,0.0,0.0,0.0,0.0,0.0,3.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.32,0.0,0.0,0.0,0.0,0.0,1.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1,0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.64,0.0,13.59
