gameweek,start_date
1,2023-08-08
2,2023-08-15
3,2023-08-22
4,2023-08-29
5,2023-09-12
6,2023-09-19
7,2023-09-26
8,2023-10-03
9,2023-10-17
10,2023-10-24
11,2023-10-31
12,2023-11-07
13,2023-11-21
14,2023-11-28
15,2023-12-05
16,2023-12-12
17,2023-12-19
18,2023-12-26
19,2024-01-02
20,2024-01-09
21,2024-01-16
22,2024-01-23
23,2024-01-30
24,2024-02-06
25,2024-02-13
26,2024-02-20
27,2024-02-27
28,2024-03-05
29,2024-03-12
30,2024-03-26
31,2024-04-02
32,2024-04-09
33,2024-04-16
34,2024-04-23
35,2024-04-30
36,2024-05-07
37,2024-05-14
